row_id,study_id,polygon,coder,citation_screening,exclude_why,citation,fulltext_screening,study_year,intervention_full_name,intervention_dim,intervention_cat,intervention_simple_name,sub_intervention_name,unit,outcome_dim,outcome_cat,outcome_catdim,outcome_indicator_full,outcome_impact,outcome_comment,budget,staff,monitoring,enforcement,clear_rules,gazetted,management,compliance,funding,conflict_resol,stake_agency,decision_making,fishery_type,age,size,size_unit,depth_cat,material_cat,livdiv_process,livdiv_pathway,gear_managed,last_heat_stress,heat_stress_freq,connectivity,cyclone_freq,sediments,nutrients,market_gravity,coastal_pop,ports,tourism,mardep_nutri,mardep_eco,ggi,hdi,wgi,gini,study_design,country,region,location,lat,lon,data_year,cost_USD,paired_intervention_1,paired_intervention_2,mardep,sednutr,n_case_studies,record_weight
1,ArtificialStructures_299,no,jessica,yes,NA,"Chen, JL; Chuang, CT; Jan, RQ; Liu, LC; Jan, MS Recreational benefits of ecosystem services on and around artificial reefs: a case study in penghu, taiwan (2013) Ocean & Coastal Management",yes,2013,All ARs in Penghu region,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,tourists,People,Economic,People - Economic,recreational value,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,0,-1.29098,-3.20619,0.61170369280565,0.856116300923111,0.843569140866438,0.976848120741446,0,0.966700857205656,NA,0.07,NA,0.907,1.221627374490104,NA,Perceptions/Survey,Taiwan,Southeast Asia,Penghu County,23.582365,119.585602,2008,,NA,NA,0.07,0.7339099968643805,72,1
2,ArtificialStructures_71,no,jessica,yes,NA,"Tynyakov, J; Rousseau, M; Chen, M; Figus, O; Belhassen, Y; Shashar, N Artificial reefs as a means of spreading diving pressure in a coral reef environment (2017) Ocean & Coastal Management",yes,2017,All diving Artificial Reefs,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,tourists,People,Economic,People - Economic,number of diver (attract new diver),neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,deep (>20m),NA,NA,NA,NA,4,1,0.16939,0.76178,0.670332499632191,0.742966115748162,0.681500627446573,0.852882995091215,0.999981683639827,0.971115100007327,0.03,0.02,0.083,0.7165960181843151,0.6533031960328425,383.7368421052632,Qualitative,Israel,Middle East and North Africa,Eilat,29.525114,34.937443,2016,,NA,NA,0.025,0.7066493076901765,72,1
3,ArtificialStructures_140,no,jessica,yes,NA,"Hill, CEL; Lymperaki, MM; Hoeksema, BW A centuries-old manmade reef in the caribbean does not substitute natural reefs in terms of species assemblages and interspecific competition (2021) Marine Pollution Bulletin",yes,2021,Ancient Artificial Reefs in Statia,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Habitat,Nature - Habitat,species richness,neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,shallow (0-5m),rock/dead coral,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.025,0.941,1.618663678566615,250.9090909090909,CI/Distance,Netherlands,NA,St. Eustatius,17.484885,63.021048,2020,,NA,NA,0.08499999999999999,NA,72,0.5
4,ArtificialStructures_140,no,jessica,yes,NA,"Hill, CEL; Lymperaki, MM; Hoeksema, BW A centuries-old manmade reef in the caribbean does not substitute natural reefs in terms of species assemblages and interspecific competition (2021) Marine Pollution Bulletin",yes,2021,Ancient Artificial Reefs in Statia,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Habitat,Nature - Habitat,interaction,neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,NA,shallow (0-5m),rock/dead coral,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.09,0.025,0.941,1.618663678566615,250.9090909090909,CI/Distance,Netherlands,NA,St. Eustatius,17.484885,63.021048,2020,,NA,NA,0.08499999999999999,NA,72,0.5
5,ArtificialStructures_35,no,jessica,yes,NA,"Al-Horani, FA; Khalaf, MA Developing artificial reefs for the mitigation of man-made coral reef damages in the gulf of aqaba, red sea: coral recruitment after 3.5 years of deployment (2013) Marine Biology Research",yes,2013,Arabisc,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Functions,Nature - Functions,recruitment,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,medium (6-20m),mixed,NA,NA,NA,NA,0,0.16939,0.76178,0,0,0.702103350751999,0.834859696681076,0.999981683639827,0.992087332405304,0.06,NA,0.471,0.7282531080823956,-0.07225566916167721,332.5,CI/Distance,Jordan,Middle East and North Africa,Gulf of Aqaba,29.459597,34.971064,2008,,NA,NA,0.06,0,72,1
6,ArtificialStructures_35,no,jessica,yes,NA,"Al-Horani, FA; Khalaf, MA Developing artificial reefs for the mitigation of man-made coral reef damages in the gulf of aqaba, red sea: coral recruitment after 3.5 years of deployment (2013) Marine Biology Research",yes,2013,Arabisc,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,water column,NCP,Water Quality,NCP - Water Quality,"nitrite, nitrate and chlorophyll a, ph",harmful,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,medium (6-20m),mixed,NA,NA,NA,NA,0,0.16939,0.76178,0,0,0.702103350751999,0.834859696681076,0.999981683639827,0.992087332405304,0.06,NA,0.471,0.7282531080823956,-0.07225566916167721,332.5,CI/Distance,Jordan,Middle East and North Africa,Gulf of Aqaba,29.459597,34.971064,2008,,NA,NA,0.06,0,72,1
7,AccessRestrictions_103,no,pauline,yes,NA,"Anderson, R; Morrall, C; Jossart, J; Nimrod, S; Bolda, E; Musser, K; Berg, C; Balza, R Marine protected area monitoring in the nearshore waters of grenada, eastern caribbean: benthic cover and fish populations (2014) Revista De Biologia Tropical",yes,2014,Moliniere-Beausejour MPA,MarCon,FPA,MarCon - FPA,NA,benthos,Nature,Habitat,Nature - Habitat,cover,neutral,,NA,NA,good monitoring and evaluation used in management,excellent capacity/resources to enforce legislation and regulations,NA,formally gazetted/covenanted,state managed,NA,NA,NA,NA,NA,NA,2.5,0.76,reef_km2,NA,NA,NA,NA,NA,0,6,-2.70037,-0.39911,0.855634838899515,0,0.785563109887434,0.958000586123526,0.998223313063228,0.966114733680123,0.27,0.23,NA,0.7479204535484314,0.5214577956746025,NA,BACI,Grenada,Caribbean-Atlantic,Grenada’s southwest reefs,12.086768,-61.764286,2012.5,,NA,NA,0.25,0.4278174194497575,225,1
8,AccessRestrictions_103,no,pauline,yes,NA,"Anderson, R; Morrall, C; Jossart, J; Nimrod, S; Bolda, E; Musser, K; Berg, C; Balza, R Marine protected area monitoring in the nearshore waters of grenada, eastern caribbean: benthic cover and fish populations (2014) Revista De Biologia Tropical",yes,2014,Moliniere-Beausejour MPA,MarCon,FPA,MarCon - FPA,NA,fish,Nature,Functions,Nature - Functions,fish populations,beneficial,,NA,NA,good monitoring and evaluation used in management,excellent capacity/resources to enforce legislation and regulations,NA,formally gazetted/covenanted,state managed,NA,NA,NA,NA,NA,NA,2.5,0.76,reef_km2,NA,NA,NA,NA,NA,0,6,-2.70037,-0.39911,0.855634838899515,0,0.785563109887434,0.958000586123526,0.998223313063228,0.966114733680123,0.27,0.23,NA,0.7479204535484314,0.5214577956746025,NA,BACI,Grenada,Caribbean-Atlantic,Grenada’s southwest reefs,12.086768,-61.764286,2012.5,,NA,NA,0.25,0.4278174194497575,225,1
9,AccessRestrictions_152,no,pauline,yes,NA,"Chen, CL Unfinished business: taiwan's experience with rights-based coastal fisheries management (2012) Marine Policy",yes,2012,Territorial Use Rights in Fisheries - Taiwan,FishMan,Access Rights,FishMan - Access Rights,NA,coastal communities,People,Governance,People - Governance,governance effectiveness,mixed,,NA,staff numbers are inadequate/below optimum,NA,major deficiencies in staff capacity/resources to enforce legislation and regulations,NA,NA,state managed,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.907,1.221627374490104,NA,Expert knowledge,Taiwan,NA,Taiwan,23.690259,120.946702,2011,,MarCon - FPA,NA,0.07,NA,19,1
10,AccessRestrictions_152,no,pauline,yes,NA,"Chen, CL Unfinished business: taiwan's experience with rights-based coastal fisheries management (2012) Marine Policy",yes,2012,Territorial Use Rights in Fisheries - Taiwan,FishMan,Access Rights,FishMan - Access Rights,NA,coastal communities,People,Social,People - Social,conflicts,beneficial,,NA,staff numbers are inadequate/below optimum,NA,major deficiencies in staff capacity/resources to enforce legislation and regulations,NA,NA,state managed,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.907,1.221627374490104,NA,Expert knowledge,Taiwan,NA,Taiwan,23.690259,120.946702,2011,,MarCon - FPA,NA,0.07,NA,19,1
